127.0.0.1, 2014-08-20 11:41:51, GET, /, HTTP/1.1, 303, 0.000452
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/default/index, HTTP/1.1, 200, 0.022841
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000493
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000951
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.006180
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001079
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.011019
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000483
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000454
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002548
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.001320
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001129
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000349
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.024067
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000637
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000676
127.0.0.1, 2014-08-20 11:41:51, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001234
127.0.0.1, 2014-08-20 11:43:13, GET, /, HTTP/1.1, 303, 0.000355
127.0.0.1, 2014-08-20 11:43:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.021741
127.0.0.1, 2014-08-20 11:56:48, GET, /, HTTP/1.1, 303, 0.002221
127.0.0.1, 2014-08-20 11:56:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.124601
127.0.0.1, 2014-08-20 11:56:48, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.002802
127.0.0.1, 2014-08-20 11:56:48, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.002700
127.0.0.1, 2014-08-20 11:56:48, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.001526
127.0.0.1, 2014-08-20 11:56:48, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002024
127.0.0.1, 2014-08-20 11:56:48, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.003861
127.0.0.1, 2014-08-20 11:56:48, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000889
127.0.0.1, 2014-08-20 11:56:48, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000415
127.0.0.1, 2014-08-20 11:56:48, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000343
127.0.0.1, 2014-08-20 11:56:48, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000357
127.0.0.1, 2014-08-20 11:56:48, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000347
127.0.0.1, 2014-08-20 11:56:48, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000343
127.0.0.1, 2014-08-20 11:56:48, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000346
127.0.0.1, 2014-08-20 11:56:49, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000707
127.0.0.1, 2014-08-20 11:56:49, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000292
127.0.0.1, 2014-08-20 11:56:49, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001194
127.0.0.1, 2014-08-20 11:56:51, GET, /l, HTTP/1.1, 200, 0.051334
127.0.0.1, 2014-08-20 12:06:54, GET, /l, HTTP/1.1, 200, 0.020888
127.0.0.1, 2014-08-20 12:06:58, GET, /, HTTP/1.1, 303, 0.000398
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.019681
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000448
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000465
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000717
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.001748
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000851
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000493
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000387
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000315
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002947
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000941
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001187
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002117
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001009
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000557
127.0.0.1, 2014-08-20 12:06:58, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000986
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.018589
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000646
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000348
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001558
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.001265
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.000514
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000289
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000300
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000321
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.000477
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000466
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000360
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000357
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000870
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000656
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000584
127.0.0.1, 2014-08-20 12:07:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000362
127.0.0.1, 2014-08-20 12:10:30, GET, /welcome/default/index, HTTP/1.1, 500, 0.068282
